my_atoms, my_ke, my_cpu, my_time, 1_disp, 2_disp, 3_disp, 1_vel, 2_vel, 3_vel,  1_force, 2_force, 3_force, force1y, force2y, force3y, force1z, force2z,force3z
3, 2.15391098582728e-07, 2.378329553, 0.02736, -0.0004, -0.000783713678781329, 0.003136,  0, -8.94065608576624 , 0.1,  0, 5.11649870945815e-08, 0, 0, 0,0,  0, 0,0
3, 7.31949742579701e-07, 2.379016577, 0.02737, -0.0004, -0.000665411961907575, 0.003137,  0, 16.4822051563213 , 0.1,  0, -8.4564158346445e-07, 0, 0, 0,0,  0, 0,0
3, 7.31725037510392e-07, 2.380232994, 0.02738, -0.0004, -0.000500600960195045, 0.003138,  0, 16.4796748899091 , 0.1,  0, -1.88117964788617e-06, 0, 0, 0,0,  0, 0,0
3, 7.31639450863783e-07, 2.380898746, 0.02739, -0.0004, -0.00033581798189685, 0.003139,  0, 16.4787110488335 , 0.1,  0, 1.70725535784255e-06, 0, 0, 0,0,  0, 0,0
3, 7.31750162521365e-07, 2.382101454, 0.0274, -0.0004, -0.000171021434831675, 0.00314,  0, 16.4799578265881 , 0.1,  0, -3.6363912854513e-07, 0, 0, 0,0,  0, 0,0
3, 7.3170523997488e-07, 2.383312193, 0.02741, -0.0004, -6.22513502581674e-06, 0.003141,  0, 16.4794519433428 , 0.1,  0, -1.95568384647104e-08, 0, 0, 0,0,  0, 0,0
3, 3.75417668570599e-07, 2.384014229, 0.02742, -0.0004, -0.000113416041247148, 0.003142,  0, -11.8038707994962 , 0.1,  0, 7.12614003962556e-07, 0, 0, 0,0,  0, 0,0
3, 3.7528979324669e-07, 2.384707513, 0.02743, -0.0004, -0.000231445842939263, 0.003143,  0, -11.8018601579661 , 0.1,  0, 1.45421711976377e-06, 0, 0, 0,0,  0, 0,0
3, 3.75074445911189e-07, 2.385927001, 0.02744, -0.0004, -0.000349448657272006, 0.003144,  0, -11.7984733800694 , 0.1,  0, 2.19565066898562e-06, 0, 0, 0,0,  0, 0,0
3, 3.75096337354452e-07, 2.386627045, 0.02745, -0.0004, -0.000467425531572247, 0.003145,  0, -11.7988177122395 , 0.1,  0, -1.66634300043174e-06, 0, 0, 0,0,  0, 0,0
3, 3.75205478582493e-07, 2.38791059, 0.02746, -0.0004, -0.000585424584614798, 0.003146,  0, -11.8005342529726 , 0.1,  0, -1.8352316775563e-07, 0, 0, 0,0,  0, 0,0
3, 3.75171217265646e-07, 2.388578685, 0.02747, -0.0004, -0.00070342793284318, 0.003147,  0, -11.7999954280739 , 0.1,  0, 3.03390096721845e-07, 0, 0, 0,0,  0, 0,0
3, 4.21686393196969e-07, 2.389777888, 0.02748, -0.0004, -0.000777425180465909, 0.003148,  0, 12.510181106772 , 0.1,  0, -1.41841774408829e-07, 0, 0, 0,0,  0, 0,0
3, 4.21619484631172e-07, 2.390450128, 0.02749, -0.0004, -0.000652327116769868, 0.003149,  0, 12.5091885149047 , 0.1,  0, -9.27856090180409e-07, 0, 0, 0,0,  0, 0,0
3, 4.21454276706902e-07, 2.391118996, 0.0275, -0.0004, -0.000527246272225914, 0.00315,  0, 12.5067373098188 , 0.1,  0, -1.7137622148286e-06, 0, 0, 0,0,  0, 0,0
3, 4.21190846477097e-07, 2.39231141, 0.02751, -0.0004, -0.00040219723167886, 0.003151,  0, 12.5028277773328 , 0.1,  0, -2.49946850907075e-06, 0, 0, 0,0,  0, 0,0
3, 4.21399354298584e-07, 2.3935039, 0.02752, -0.0004, -0.000277151854188986, 0.003152,  0, 12.5059223146124 , 0.1,  0, 9.69853497301153e-07, 0, 0, 0,0,  0, 0,0
